2016-09-16 12:24:00 , Telecome,Got exception on main handler'text' , __main__ , ERROR 
2016-09-16 12:27:33 , Telecome,Got exception on main handler'text' , __main__ , ERROR 
2016-09-16 12:27:33 , Telecome,Got exception on main handler'text' , __main__ , ERROR 
2016-09-16 12:30:06 , Telecome,Got exception on main handler'text' , __main__ , ERROR 
2016-09-16 12:30:06 , Telecome,Got exception on main handler'text' , __main__ , ERROR 
2016-09-16 12:30:06 , Telecome,Got exception on main handler'text' , __main__ , ERROR 
2016-09-16 12:31:12 , Telecome,Got exception on main handler'text' , __main__ , ERROR 
2016-09-16 12:31:12 , Telecome,Got exception on main handler'text' , __main__ , ERROR 
2016-09-16 12:31:12 , Telecome,Got exception on main handler'text' , __main__ , ERROR 
2016-09-16 12:31:12 , Telecome,Got exception on main handler'text' , __main__ , ERROR 
2016-09-16 12:35:29 , Telecome,Got exception on main handler'text' , __main__ , ERROR 
2016-09-16 12:35:29 , Telecome,Got exception on main handler'text' , __main__ , ERROR 
2016-09-16 12:35:29 , Telecome,Got exception on main handler'text' , __main__ , ERROR 
2016-09-16 12:35:29 , Telecome,Got exception on main handler'text' , __main__ , ERROR 
2016-09-16 12:35:29 , Telecome,Got exception on main handler'text' , __main__ , ERROR 
